"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"230";"ENSMUSG00000022099.19";3556,6736497217;2738,20821697836;2614,95426193514;1998,20421831982;"FLASH"
"231";"ENSMUSG00000026532.8";3933,75793785483;2679,96753173504;2611,33995058485;2034,85989306792;"FLASH"
"232";"ENSMUSG00000030978.11";4720,87562667641;3707,69162364413;3755,26949295177;3090,35534799415;"FLASH"
"233";"ENSMUSG00000042066.17";3689,38535306952;2741,79225914718;2610,43637274727;2057,41723137445;"FLASH"
"234";"ENSMUSG00000032028.16";3173,18258970281;2498,97340220964;2578,81114843223;1718,11726768044;"FLASH"
"235";"ENSMUSG00000019961.18";5603,17964065781;5000,63483604589;4912,75270288229;3864,82396318489;"FLASH"
"236";"ENSMUSG00000001506.11";423670,836966258;445019,506577329;407765,755708466;434764,671709621;"STANDARD"
"237";"ENSMUSG00000029661.17";154438,576352217;173862,412112386;162309,465216656;172412,946895002;"STANDARD"
"238";"ENSMUSG00000051747.17";91140,2939390132;79370,6700683725;44651,844789854;89306,0698576178;"STANDARD"
"239";"ENSMUSG00000064351.1";204165,286413611;252872,066714101;203827,385187877;193645,206343363;"STANDARD"
"240";"ENSMUSG00000119584.1";209496,092318148;29394,3660576716;5796,63225007099;22040,9334303406;"STANDARD"
"241";"ENSMUSG00000018593.14";97354,0718181162;92052,8594672975;93248,3716593442;101434,25646249;"STANDARD"
"242";"ENSMUSG00000064341.1";75087,4237873093;86758,3039857856;73057,5060886361;70270,0189405751;"STANDARD"
"243";"ENSMUSG00002076161.1";201506,295083565;164453,700034726;182499,390233697;178097,703828959;"STANDARD"
