"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"230";"ENSMUSG00000061723.20";14795,2291896521;2556,7507011175;391,030673447914;447,279389488933;"STANDARD"
"231";"ENSMUSG00000000184.13";12878,1482488499;12349,057371204;14662,7011507204;30173,6756518488;"STANDARD"
"232";"ENSMUSG00000074199.8";18824,018577937;20248,3011882049;21963,2058598499;7306,25681807039;"STANDARD"
"233";"ENSMUSG00000033508.9";18920,4476607923;18655,0622313795;21399,43833551;5550,42516816965;"STANDARD"
"234";"ENSMUSG00000047419.6";13941,522171713;2560,63191660307;449,875095180367;428,556066208001;"STANDARD"
"235";"ENSMUSG00000055561.10";15596,7406489815;16309,8377742255;20928,6829616504;6168,29483644041;"STANDARD"
"236";"ENSMUSG00000069441.4";30805,1109550871;29316,7611702331;36380,089184301;19295,4248256272;"STANDARD"
"237";"ENSMUSG00000038170.16";13354,985640217;2674,15746955591;908,292122547703;782,218839292274;"STANDARD"
"238";"ENSMUSG00000020758.16";8309,70986476934;7109,41646568802;8240,11724969609;22777,9629558806;"STANDARD"
"239";"ENSMUSG00000028464.17";12607,4390804671;1852,31009048702;532,447106321067;864,393424803032;"STANDARD"
"240";"ENSMUSG00000032366.16";15251,7191598662;5309,50278425615;3973,89667409324;4249,15420014487;"STANDARD"
"241";"ENSMUSG00000027111.17";8884,74567996152;7481,04284843109;9752,0392467896;24005,3808154084;"STANDARD"
"242";"ENSMUSG00000026193.16";16225,7413637533;16273,936530984;21238,0907275339;1561,31712470439;"STANDARD"
"243";"ENSMUSG00000059832.5";18172,9011010425;15706,3087662197;19931,1751029277;3717,61985589174;"STANDARD"
"244";"ENSMUSG00000039518.8";19654,7241632684;18674,4683088074;20129,5377503806;3632,32471650083;"STANDARD"
